Titulo;Valor;Id;Fecha;Propiedad
ALOJAMIENTO; 22.502.694 ;54;1/01/25;Sites 45
ALOJAMIENTO; 23.361.480 ;54;2/01/25;Sites 45
ALOJAMIENTO; 21.503.689 ;54;3/01/25;Sites 45
ALOJAMIENTO; 20.687.506 ;54;4/01/25;Sites 45
ALOJAMIENTO; 18.304.176 ;54;5/01/25;Sites 45
ALOJAMIENTO; 15.340.048 ;54;6/01/25;Sites 45
ALOJAMIENTO; 13.132.511 ;54;7/01/25;Sites 45
ALOJAMIENTO; 23.704.204 ;54;8/01/25;Sites 45
ALOJAMIENTO; 18.468.026 ;54;9/01/25;Sites 45
ALOJAMIENTO; 21.127.537 ;54;10/01/25;Sites 45
ALOJAMIENTO; 20.166.830 ;54;11/01/25;Sites 45
ALOJAMIENTO; 18.669.775 ;54;12/01/25;Sites 45
ALOJAMIENTO; 19.652.605 ;54;13/01/25;Sites 45
ALOJAMIENTO; 19.072.999 ;54;14/01/25;Sites 45
ALOJAMIENTO; 19.109.042 ;54;15/01/25;Sites 45
ALOJAMIENTO; 22.679.017 ;54;16/01/25;Sites 45
ALOJAMIENTO; 22.906.607 ;54;17/01/25;Sites 45
ALOJAMIENTO; 22.505.753 ;54;18/01/25;Sites 45
ALOJAMIENTO; 24.072.699 ;54;19/01/25;Sites 45
ALOJAMIENTO; 27.163.077 ;54;20/01/25;Sites 45
ALOJAMIENTO; 24.719.646 ;54;21/01/25;Sites 45
ALOJAMIENTO; 26.020.230 ;54;22/01/25;Sites 45
ALOJAMIENTO; 30.157.661 ;54;23/01/25;Sites 45
ALOJAMIENTO; 32.278.101 ;54;24/01/25;Sites 45
ALOJAMIENTO; 34.648.550 ;54;25/01/25;Sites 45
ALOJAMIENTO; 28.480.564 ;54;26/01/25;Sites 45
ALOJAMIENTO; 29.636.523 ;54;27/01/25;Sites 45
ALOJAMIENTO; 26.358.565 ;54;28/01/25;Sites 45
ALOJAMIENTO; 24.610.732 ;54;29/01/25;Sites 45
ALOJAMIENTO; 23.189.580 ;54;30/01/25;Sites 45
ALOJAMIENTO; 12.118.844 ;54;31/01/25;Sites 45
ALOJAMIENTO; 17.916.637 ;54;1/02/25;Sites 45
ALOJAMIENTO; 19.313.980 ;54;2/02/25;Sites 45
ALOJAMIENTO; 19.738.366 ;54;3/02/25;Sites 45
ALOJAMIENTO; 20.125.011 ;54;4/02/25;Sites 45
ALOJAMIENTO; 18.375.936 ;54;5/02/25;Sites 45
ALOJAMIENTO; 17.989.611 ;54;6/02/25;Sites 45
ALOJAMIENTO; 20.023.981 ;54;7/02/25;Sites 45
ALOJAMIENTO; 19.806.466 ;54;8/02/25;Sites 45
ALOJAMIENTO; 21.564.041 ;54;9/02/25;Sites 45
ALOJAMIENTO; 24.369.526 ;54;10/02/25;Sites 45
ALOJAMIENTO; 20.570.713 ;54;11/02/25;Sites 45
ALOJAMIENTO; 17.483.916 ;54;12/02/25;Sites 45
ALOJAMIENTO; 18.108.968 ;54;13/02/25;Sites 45
ALOJAMIENTO; 20.314.088 ;54;14/02/25;Sites 45
ALOJAMIENTO; 22.952.274 ;54;15/02/25;Sites 45
ALOJAMIENTO; 21.868.754 ;54;16/02/25;Sites 45
ALOJAMIENTO; 22.005.126 ;54;17/02/25;Sites 45
ALOJAMIENTO; 18.027.664 ;54;18/02/25;Sites 45
ALOJAMIENTO; 21.070.855 ;54;19/02/25;Sites 45
ALOJAMIENTO; 21.683.112 ;54;20/02/25;Sites 45
ALOJAMIENTO; 22.405.761 ;54;21/02/25;Sites 45
ALOJAMIENTO; 20.901.918 ;54;22/02/25;Sites 45
ALOJAMIENTO; 22.452.814 ;54;23/02/25;Sites 45
ALOJAMIENTO; 19.511.705 ;54;24/02/25;Sites 45
ALOJAMIENTO; 16.771.767 ;54;25/02/25;Sites 45
ALOJAMIENTO; 16.814.733 ;54;26/02/25;Sites 45
ALOJAMIENTO; 12.358.291 ;54;27/02/25;Sites 45
ALOJAMIENTO; 11.175.401 ;54;28/02/25;Sites 45
ALOJAMIENTO; 1.866.998 ;54;1/03/25;Sites 45
ALOJAMIENTO; 19.222.986 ;54;1/03/25;Sites 45
ALOJAMIENTO; 20.491.372 ;54;2/03/25;Sites 45
ALOJAMIENTO; 18.870.837 ;54;3/03/25;Sites 45
ALOJAMIENTO; 18.151.635 ;54;4/03/25;Sites 45
ALOJAMIENTO; 17.925.544 ;54;5/03/25;Sites 45
ALOJAMIENTO; 22.081.027 ;54;6/03/25;Sites 45
ALOJAMIENTO; 21.606.189 ;54;7/03/25;Sites 45
ALOJAMIENTO; 21.716.195 ;54;8/03/25;Sites 45
ALOJAMIENTO; 17.752.084 ;54;9/03/25;Sites 45
ALOJAMIENTO; 18.454.855 ;54;10/03/25;Sites 45
ALOJAMIENTO; 16.119.257 ;54;11/03/25;Sites 45
ALOJAMIENTO; 18.562.580 ;54;12/03/25;Sites 45
ALOJAMIENTO; 23.343.677 ;54;13/03/25;Sites 45
ALOJAMIENTO; 22.219.754 ;54;14/03/25;Sites 45
ALOJAMIENTO; 20.850.916 ;54;15/03/25;Sites 45
ALOJAMIENTO; 23.966.711 ;54;16/03/25;Sites 45
ALOJAMIENTO; 22.537.041 ;54;17/03/25;Sites 45
ALOJAMIENTO; 20.200.465 ;54;18/03/25;Sites 45
ALOJAMIENTO; 20.839.315 ;54;19/03/25;Sites 45
ALOJAMIENTO; 17.369.554 ;54;20/03/25;Sites 45
ALOJAMIENTO; 17.462.423 ;54;21/03/25;Sites 45
ALOJAMIENTO; 17.573.600 ;54;22/03/25;Sites 45
ALOJAMIENTO; 20.704.539 ;54;23/03/25;Sites 45
ALOJAMIENTO; 14.658.673 ;54;24/03/25;Sites 45
ALOJAMIENTO; 17.852.131 ;54;25/03/25;Sites 45
ALOJAMIENTO; 17.827.915 ;54;26/03/25;Sites 45
ALOJAMIENTO; 23.352.835 ;54;27/03/25;Sites 45
ALOJAMIENTO; 24.852.248 ;54;28/03/25;Sites 45
ALOJAMIENTO; 26.254.503 ;54;29/03/25;Sites 45
ALOJAMIENTO; 22.292.707 ;54;30/03/25;Sites 45
ALOJAMIENTO; 19.335.049 ;54;31/03/25;Sites 45
ALOJAMIENTO; 12.525.629 ;54;1/04/25;Sites 45
ALOJAMIENTO; 17.590.865 ;54;2/04/25;Sites 45
ALOJAMIENTO; 21.315.856 ;54;3/04/25;Sites 45
ALOJAMIENTO; 20.810.918 ;54;4/04/25;Sites 45
ALOJAMIENTO; 20.024.997 ;54;5/04/25;Sites 45
ALOJAMIENTO; 17.722.357 ;54;6/04/25;Sites 45
ALOJAMIENTO; 17.613.706 ;54;7/04/25;Sites 45
ALOJAMIENTO; 15.649.968 ;54;8/04/25;Sites 45
ALOJAMIENTO; 13.780.891 ;54;9/04/25;Sites 45
ALOJAMIENTO; 15.807.552 ;54;10/04/25;Sites 45
ALOJAMIENTO; 17.238.331 ;54;11/04/25;Sites 45
